CountyName,Year,State,CN_lb/ac
BUENA VISTA,2015,IA,65.02255775
BUENA VISTA,2016,IA,69.30977032
BUENA VISTA,2017,IA,70.54923496
BUENA VISTA,2018,IA,63.51622197
BUENA VISTA,2019,IA,64.27189179
BUTLER,1968,IA,41.08584344
BUTLER,1969,IA,38.03850743
BUTLER,1970,IA,40.76462809
BUTLER,1971,IA,39.99429306
BUTLER,1972,IA,42.15689348
BUTLER,1973,IA,49.58441863
BUTLER,1974,IA,53.89885468
BUTLER,1975,IA,52.32756047
BUTLER,1976,IA,69.59210944
BUTLER,1977,IA,58.34617678
BUTLER,1978,IA,55.51570653
BUTLER,1979,IA,62.69372215
BUTLER,1980,IA,62.97712414
BUTLER,1981,IA,68.71581418
BUTLER,1982,IA,61.92802978
BUTLER,1983,IA,59.83274277
BUTLER,1984,IA,63.7327376
BUTLER,1985,IA,67.64869192
BUTLER,1986,IA,57.33274085
BUTLER,1987,IA,65.69493886
BUTLER,1988,IA,69.18777787
BUTLER,1989,IA,62.2502288
BUTLER,1990,IA,66.40271856
BUTLER,1991,IA,61.68880177
BUTLER,1992,IA,59.48962049
BUTLER,1993,IA,55.75536186
BUTLER,1994,IA,69.43051519
BUTLER,1995,IA,57.8094483
BUTLER,1996,IA,71.61528397
BUTLER,1997,IA,64.93969414
BUTLER,1998,IA,61.56169473
BUTLER,1999,IA,61.78643336
BUTLER,2000,IA,62.7203218
BUTLER,2001,IA,53.21292618
BUTLER,2002,IA,53.05740003
BUTLER,2003,IA,59.58960056
BUTLER,2004,IA,62.7783847
BUTLER,2005,IA,70.0208894
BUTLER,2006,IA,63.4927007
BUTLER,2007,IA,77.54058377
BUTLER,2008,IA,77.94744005
BUTLER,2009,IA,65.92475333
BUTLER,2010,IA,67.87741409
BUTLER,2011,IA,90.06984143
BUTLER,2012,IA,84.84016904
BUTLER,2013,IA,80.93836478
BUTLER,2014,IA,68.39185595
BUTLER,2015,IA,70.23635146
BUTLER,2016,IA,75.04017099
BUTLER,2017,IA,76.5038261
BUTLER,2018,IA,68.81277801
BUTLER,2019,IA,69.6304829
CALHOUN,1968,IA,51.96072388
CALHOUN,1969,IA,52.43966228
CALHOUN,1970,IA,53.56346631
CALHOUN,1971,IA,52.07801486
CALHOUN,1972,IA,55.54000053
CALHOUN,1973,IA,59.48409174
CALHOUN,1974,IA,58.33491775
CALHOUN,1975,IA,59.27454143
CALHOUN,1976,IA,79.71616664
CALHOUN,1977,IA,75.75527672
CALHOUN,1978,IA,72.73367801
CALHOUN,1979,IA,81.45707601
CALHOUN,1980,IA,79.77116672
CALHOUN,1981,IA,86.48791716
CALHOUN,1982,IA,77.00515247
CALHOUN,1983,IA,74.63742205
CALHOUN,1984,IA,78.38221978
CALHOUN,1985,IA,83.16381325
CALHOUN,1986,IA,75.77794478
CALHOUN,1987,IA,80.37211433
CALHOUN,1988,IA,87.46296459
CALHOUN,1989,IA,72.75402205
CALHOUN,1990,IA,74.71392017
CALHOUN,1991,IA,68.56406877
CALHOUN,1992,IA,66.8044284
CALHOUN,1993,IA,65.40320977
CALHOUN,1994,IA,75.36874313
CALHOUN,1995,IA,67.93649211
CALHOUN,1996,IA,76.44613838
CALHOUN,1997,IA,69.15972676
CALHOUN,1998,IA,65.54408277
CALHOUN,1999,IA,67.00793639
CALHOUN,2000,IA,68.72888858
CALHOUN,2001,IA,57.15569409
CALHOUN,2002,IA,59.02842322
CALHOUN,2003,IA,70.43709963
CALHOUN,2004,IA,65.72148433
CALHOUN,2005,IA,79.1872069
CALHOUN,2006,IA,68.80596786
CALHOUN,2007,IA,92.9596369
CALHOUN,2008,IA,89.25589455
CALHOUN,2009,IA,76.90670653
CALHOUN,2010,IA,81.09896976
CALHOUN,2011,IA,96.06095017
CALHOUN,2012,IA,98.04125222
CALHOUN,2013,IA,89.36140908
CALHOUN,2014,IA,79.58152156
CALHOUN,2015,IA,77.03596251
CALHOUN,2016,IA,82.20634456
CALHOUN,2017,IA,83.76144888
CALHOUN,2018,IA,75.43020672
CALHOUN,2019,IA,76.318428
CARROLL,1968,IA,47.91391745
CARROLL,1969,IA,47.5818681
CARROLL,1970,IA,50.85411475
CARROLL,1971,IA,48.59770173
CARROLL,1972,IA,51.69509368
CARROLL,1973,IA,57.13343982
CARROLL,1974,IA,58.99038041
CARROLL,1975,IA,57.0935386
CARROLL,1976,IA,77.34123972
CARROLL,1977,IA,70.63701308
